Store ID,Product ID,Category,Region,Current_Inventory,Units_Ordered,Current_Price,Forward_8_Week_Demand,Lead_Time_Demand,Available_Supply,Stockout_Gap_Units,stockout_risk_score,Stockout_Risk_Level,Excess_Inventory_Units,overstock_risk_score,Overstock_Risk_Level,Estimated_Stockout_Impact_INR,Estimated_Overstock_Impact_INR,Estimated_Impact_INR,Decision_Quadrant,Recommended_Action,Analysis_Week
S001,P0015,Electronics,East,356.0,60,25.26,1142.86,267.61,416.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0016,Electronics,East,74.0,189,40.61,872.9300000000001,237.11,263.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0017,Toys,East,282.0,61,20.68,1282.57,326.15,343.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0018,Electronics,East,191.0,95,24.1,921.76,230.42000000000002,286.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0019,Clothing,West,149.0,85,81.71,949.77,231.06,234.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S001,P0020,Electronics,South,242.0,198,11.0,1060.11,251.63,440.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0001,Clothing,East,415.0,67,11.72,1585.95,407.05,482.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0002,Groceries,North,364.0,149,57.66,1453.34,327.22,513.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0003,Clothing,South,372.0,132,81.61,1210.96,339.79,504.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0004,Toys,West,133.0,77,25.28,1222.07,319.79999999999995,210.0,109.79999999999995,34.33,Low,0.0,0.0,Low,2775.74,0.0,2775.74,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0005,Toys,West,464.0,44,16.98,1362.28,299.63,508.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0006,Toys,East,160.0,78,19.06,1052.0,283.77,238.0,45.76999999999998,16.13,Low,0.0,0.0,Low,872.38,0.0,872.38,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0007,Toys,West,53.0,40,63.66,1016.87,293.19,93.0,200.19,68.28,Medium,0.0,0.0,Low,12744.1,0.0,12744.1,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0008,Furniture,North,218.0,144,90.38,1317.3600000000001,338.34000000000003,362.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0009,Electronics,North,62.0,183,45.97,1299.66,312.56,245.0,67.56,21.62,Low,0.0,0.0,Low,3105.73,0.0,3105.73,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0010,Toys,West,419.0,58,33.48,1251.3,289.71000000000004,477.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0011,Groceries,West,156.0,166,99.13,1047.33,256.48,322.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0012,Electronics,North,193.0,115,52.5,962.4,259.61,308.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0013,Electronics,South,472.0,160,67.26,1493.6,370.12,632.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0014,Clothing,West,342.0,171,70.31,1108.2,281.29999999999995,513.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0015,Toys,South,433.0,190,67.54,1230.13,282.74,623.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0016,Toys,North,258.0,197,41.3,1460.32,353.37,455.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0017,Toys,East,236.0,91,47.83,1249.51,293.13,327.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0018,Groceries,East,151.0,147,32.84,1367.6,339.2,298.0,41.19999999999999,12.15,Low,0.0,0.0,Low,1353.01,0.0,1353.01,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0019,Furniture,West,409.0,49,54.27,1571.95,345.48,458.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S002,P0020,Groceries,East,284.0,172,75.94,1716.98,473.04999999999995,456.0,17.049999999999955,3.6,Low,0.0,0.0,Low,1294.78,0.0,1294.78,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0001,Clothing,West,138.0,65,52.72,1431.85,396.34000000000003,203.0,193.34000000000003,48.78,Medium,0.0,0.0,Low,10192.88,0.0,10192.88,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0002,Groceries,South,388.0,102,39.66,1831.55,426.80999999999995,490.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0003,Groceries,North,112.0,169,41.99,828.42,215.5,281.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0004,Groceries,North,415.0,79,72.75,1265.79,290.87,494.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0005,Electronics,West,411.0,200,82.16,1482.1,371.72,611.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0006,Furniture,North,451.0,200,24.39,1639.93,415.06,651.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0007,Electronics,North,108.0,74,54.87,1233.48,312.82000000000005,182.0,130.82000000000005,41.82,Medium,0.0,0.0,Low,7178.09,0.0,7178.09,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0008,Furniture,North,103.0,130,56.59,869.9,211.28,233.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0009,Furniture,South,496.0,58,54.64,1385.15,346.53999999999996,554.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0010,Furniture,East,413.0,186,80.87,1165.71,257.87,599.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0011,Toys,West,137.0,46,38.43,945.7,254.84,183.0,71.84,28.19,Low,0.0,0.0,Low,2760.81,0.0,2760.81,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0012,Clothing,North,108.0,105,84.56,818.02,204.24,213.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0013,Groceries,West,388.0,26,13.45,1330.51,324.49,414.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0014,Electronics,West,230.0,190,73.4,1534.71,375.51,420.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0015,Clothing,East,270.0,109,59.8,1319.26,324.75,379.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0016,Furniture,East,166.0,56,55.17,993.93,245.57,222.0,23.569999999999993,9.6,Low,0.0,0.0,Low,1300.36,0.0,1300.36,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0017,Clothing,North,239.0,26,67.36,1521.01,394.25,265.0,129.25,32.78,Low,0.0,0.0,Low,8706.28,0.0,8706.28,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0018,Electronics,North,375.0,67,29.45,706.13,179.29000000000002,442.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0019,Electronics,West,253.0,121,62.0,1480.43,374.03999999999996,374.0,0.03999999999996362,0.01,Low,0.0,0.0,Low,2.48,0.0,2.48,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S003,P0020,Groceries,West,417.0,148,54.19,1162.13,211.29,565.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0001,Electronics,East,497.0,137,42.34,1257.6100000000001,272.75,634.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0002,Furniture,West,181.0,85,30.65,1304.3,339.57,266.0,73.57,21.67,Low,0.0,0.0,Low,2254.92,0.0,2254.92,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0003,Furniture,West,419.0,169,72.63,1299.18,341.81,588.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0004,Furniture,South,105.0,193,43.53,755.72,210.28,298.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0005,Toys,East,217.0,88,77.66,1337.69,344.94,305.0,39.94,11.58,Low,0.0,0.0,Low,3101.74,0.0,3101.74,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0006,Toys,East,364.0,39,42.43,1451.41,358.0,403.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0007,Electronics,South,134.0,97,27.45,1050.8799999999999,306.07,231.0,75.07,24.53,Low,0.0,0.0,Low,2060.67,0.0,2060.67,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0008,Furniture,West,390.0,91,80.66,1415.55,320.88,481.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0009,Clothing,East,115.0,139,48.65,968.69,232.78,254.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0010,Toys,North,382.0,70,15.35,1328.6299999999999,295.48,452.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0011,Groceries,East,155.0,47,88.17,1230.15,329.09000000000003,202.0,127.09000000000003,38.62,Low,0.0,0.0,Low,11205.53,0.0,11205.53,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0012,Clothing,East,85.0,36,11.65,859.79,237.31,121.0,116.31,49.01,Medium,0.0,0.0,Low,1355.01,0.0,1355.01,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0013,Electronics,West,113.0,67,90.89,830.92,203.91,180.0,23.909999999999997,11.73,Low,0.0,0.0,Low,2173.18,0.0,2173.18,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0014,Furniture,South,386.0,169,53.27,1196.97,305.68,555.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0015,Toys,North,56.0,148,34.9,1250.67,278.89,204.0,74.88999999999999,26.85,Low,0.0,0.0,Low,2613.66,0.0,2613.66,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0016,Clothing,West,314.0,148,19.12,1274.22,296.62,462.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0017,Electronics,North,100.0,99,20.61,1407.84,357.46000000000004,199.0,158.46000000000004,44.33,Medium,0.0,0.0,Low,3265.86,0.0,3265.86,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0018,Toys,North,83.0,70,82.97,866.03,215.94,153.0,62.94,29.15,Low,0.0,0.0,Low,5222.13,0.0,5222.13,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0019,Clothing,East,65.0,166,61.04,1205.1399999999999,297.07,231.0,66.07,22.24,Low,0.0,0.0,Low,4032.91,0.0,4032.91,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S004,P0020,Toys,West,249.0,115,32.87,1418.77,369.39,364.0,5.389999999999986,1.46,Low,0.0,0.0,Low,177.17,0.0,177.17,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0001,Toys,North,300.0,69,99.33,1179.68,327.25,369.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0002,Groceries,North,253.0,80,34.96,1152.53,292.47,333.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0003,Furniture,South,98.0,118,24.17,1442.67,380.9,216.0,164.89999999999998,43.29,Medium,0.0,0.0,Low,3985.63,0.0,3985.63,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0004,Toys,North,158.0,193,77.29,780.4,208.8,351.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0005,Toys,South,372.0,143,96.72,1430.42,392.16999999999996,515.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0006,Furniture,North,491.0,100,71.3,1480.01,345.18,591.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0007,Groceries,South,59.0,34,62.12,1436.15,388.28,93.0,295.28,76.05,High,0.0,0.0,Low,18342.79,0.0,18342.79,Reorder Now,Prioritize replenishment; available supply may not cover lead-time demand.,2024-01-01
S005,P0008,Electronics,West,409.0,49,63.42,1587.44,394.43,458.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0009,Furniture,North,319.0,31,87.7,1335.65,302.78,350.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0010,Toys,North,308.0,94,19.2,1904.39,558.6,402.0,156.60000000000002,28.03,Low,0.0,0.0,Low,3006.72,0.0,3006.72,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0011,Groceries,North,156.0,156,86.09,911.77,240.45,312.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0012,Electronics,North,495.0,42,36.94,919.7,193.24,537.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0013,Electronics,West,389.0,99,32.05,1531.3,410.86,488.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0014,Toys,West,328.0,43,66.5,1280.93,321.27,371.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0015,Furniture,North,408.0,92,83.26,1240.8,318.42,500.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0016,Furniture,East,96.0,127,73.73,1289.3600000000001,341.61,223.0,118.61000000000001,34.72,Low,0.0,0.0,Low,8745.12,0.0,8745.12,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0017,Toys,North,313.0,101,82.57,1446.17,375.4,414.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0018,Clothing,West,278.0,151,11.11,1024.55,240.04,429.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0019,Toys,East,374.0,21,53.14,1558.24,386.18,395.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
S005,P0020,Groceries,East,117.0,165,78.39,876.08,242.32999999999998,282.0,0.0,0.0,Low,0.0,0.0,Low,0.0,0.0,0.0,Healthy,Maintain current inventory position and continue monitoring.,2024-01-01
