Week,Store ID,Product ID,Category,Region,Units_Sold,Units_Ordered,Avg_Inventory,Avg_Price,Avg_Discount,Avg_Competitor_Price,Promotion_Days
2021-12-27,S001,P0012,Furniture,East,56,187,281.0,57.84,5.0,60.99,1
2021-12-27,S001,P0013,Toys,North,31,124,455.0,35.51,15.0,31.06,1
2021-12-27,S001,P0013,Toys,South,42,85,96.0,43.6,0.0,46.31,0
2021-12-27,S001,P0014,Clothing,West,12,187,193.0,78.11,0.0,80.06,0
2021-12-27,S001,P0014,Electronics,West,25,20,84.0,31.41,0.0,28.6,1
2021-12-27,S001,P0015,Clothing,North,369,154,379.0,92.99,15.0,95.8,0
2021-12-27,S001,P0015,Electronics,East,198,67,246.0,28.06,20.0,30.29,1
2021-12-27,S001,P0016,Electronics,North,255,69,363.0,21.9,5.0,20.27,1
2021-12-27,S001,P0016,Electronics,West,77,147,399.0,35.67,15.0,38.02,0
2021-12-27,S001,P0017,Furniture,West,165,105,242.0,28.18,5.0,27.5,0
2021-12-27,S001,P0017,Toys,West,246,177,318.0,21.07,20.0,16.49,0
2021-12-27,S001,P0018,Clothing,South,151,47,241.0,19.57,5.0,23.13,0
2021-12-27,S001,P0018,Toys,North,42,168,478.0,74.42,5.0,69.67,0
2021-12-27,S001,P0019,Clothing,East,257,186,352.0,73.28,10.0,77.26,0
2021-12-27,S001,P0019,Furniture,South,8,67,156.0,91.95,5.0,87.43,1
2021-12-27,S001,P0020,Electronics,North,174,168,221.0,97.88,0.0,99.5,0
2021-12-27,S001,P0020,Toys,East,99,166,274.0,30.24,5.0,27.1,0
2021-12-27,S002,P0001,Electronics,West,343,141,402.0,66.57,20.0,63.92,1
2021-12-27,S002,P0001,Groceries,South,104,144,343.0,32.8,20.0,30.78,1
2021-12-27,S002,P0002,Clothing,West,141,151,373.0,46.16,10.0,45.21,1
2021-12-27,S002,P0002,Furniture,West,71,60,132.0,90.36,5.0,86.73,0
2021-12-27,S002,P0003,Furniture,East,182,119,445.0,20.46,20.0,22.0,1
2021-12-27,S002,P0003,Groceries,West,157,31,218.0,92.24,5.0,89.57,1
2021-12-27,S002,P0004,Groceries,South,88,109,131.0,68.71,0.0,69.34,0
2021-12-27,S002,P0004,Toys,West,63,115,191.0,26.19,0.0,28.06,0
2021-12-27,S002,P0005,Groceries,North,64,128,93.0,87.22,5.0,90.59,1
2021-12-27,S002,P0005,Toys,West,156,25,281.0,83.29,20.0,80.64,0
2021-12-27,S002,P0006,Furniture,North,250,168,492.0,85.59,20.0,86.82,0
2021-12-27,S002,P0006,Groceries,East,273,154,344.0,79.38,0.0,77.28,0
2021-12-27,S002,P0007,Groceries,North,247,148,340.0,17.41,15.0,13.57,0
2021-12-27,S002,P0007,Groceries,West,393,70,460.0,91.13,5.0,93.33,0
2021-12-27,S002,P0008,Electronics,North,42,187,241.0,14.8,15.0,13.94,1
2021-12-27,S002,P0008,Electronics,West,29,99,304.0,66.96,20.0,65.36,0
2021-12-27,S002,P0009,Clothing,South,9,84,113.0,81.29,5.0,82.06,1
2021-12-27,S002,P0009,Electronics,North,197,157,296.0,30.5,0.0,28.86,0
2021-12-27,S002,P0010,Electronics,North,126,181,157.0,60.84,0.0,65.22,1
2021-12-27,S002,P0010,Groceries,West,374,65,472.0,27.84,15.0,32.0,1
2021-12-27,S002,P0011,Furniture,East,154,22,308.0,88.62,0.0,86.3,0
2021-12-27,S002,P0011,Groceries,West,13,33,67.0,34.62,0.0,33.98,1
2021-12-27,S002,P0012,Groceries,East,25,136,281.0,19.56,5.0,19.01,1
2021-12-27,S002,P0012,Toys,North,236,30,434.0,82.35,20.0,83.13,0
2021-12-27,S002,P0013,Clothing,East,283,177,389.0,57.78,20.0,58.5,0
2021-12-27,S002,P0013,Toys,North,278,92,287.0,92.57,10.0,97.09,1
2021-12-27,S002,P0014,Electronics,East,359,77,465.0,91.28,20.0,90.85,0
2021-12-27,S002,P0014,Furniture,West,27,134,190.0,94.38,5.0,89.47,0
2021-12-27,S002,P0015,Toys,North,106,191,353.0,70.59,0.0,75.27,1
2021-12-27,S002,P0015,Toys,South,129,94,197.0,59.9,15.0,55.23,1
2021-12-27,S002,P0016,Toys,South,63,85,242.0,45.65,20.0,42.17,1
2021-12-27,S002,P0016,Toys,West,154,70,210.0,63.13,10.0,67.23,0
2021-12-27,S002,P0017,Clothing,West,176,38,193.0,46.04,5.0,41.4,1
2021-12-27,S002,P0017,Groceries,West,373,92,398.0,11.71,20.0,10.0,1
2021-12-27,S002,P0018,Groceries,East,124,46,124.0,21.07,10.0,21.71,0
2021-12-27,S002,P0018,Groceries,North,160,140,234.0,58.84,5.0,54.39,0
2021-12-27,S002,P0019,Toys,East,494,318,279.5,82.05,2.5,80.53999999999999,1
2021-12-27,S002,P0020,Clothing,South,78,42,222.0,64.99,0.0,65.4,1
2021-12-27,S002,P0020,Toys,West,101,38,221.0,87.1,0.0,91.56,1
2021-12-27,S003,P0001,Toys,South,147,180,241.0,67.21,5.0,67.39,1
2021-12-27,S003,P0001,Toys,West,114,40,277.0,73.48,10.0,72.55,0
2021-12-27,S003,P0002,Electronics,West,4,169,115.0,28.2,10.0,25.63,1
2021-12-27,S003,P0002,Groceries,East,2,140,175.0,87.5,0.0,91.2,0
2021-12-27,S003,P0003,Groceries,South,77,145,375.0,56.16,10.0,57.16,1
2021-12-27,S003,P0003,Toys,East,7,187,157.0,88.68,20.0,87.38,1
2021-12-27,S003,P0004,Furniture,West,54,154,120.0,82.36,20.0,85.85,0
2021-12-27,S003,P0004,Toys,South,31,145,153.0,89.53,20.0,93.6,1
2021-12-27,S003,P0005,Clothing,West,325,20,438.0,97.95,20.0,93.54,0
2021-12-27,S003,P0005,Furniture,East,282,61,375.0,38.56,5.0,36.57,0
2021-12-27,S003,P0006,Groceries,East,93,33,302.0,97.74,0.0,97.69,0
2021-12-27,S003,P0006,Groceries,North,163,22,456.0,76.37,5.0,71.38,1
2021-12-27,S003,P0007,Electronics,North,34,107,189.0,86.99,15.0,90.5,1
2021-12-27,S003,P0007,Electronics,West,85,40,375.0,37.68,15.0,36.72,0
2021-12-27,S003,P0008,Clothing,South,136,50,248.0,36.03,5.0,37.49,0
2021-12-27,S003,P0008,Toys,North,47,107,223.0,66.53,15.0,70.46,1
2021-12-27,S003,P0009,Electronics,West,140,196,219.0,88.97,0.0,91.53,1
2021-12-27,S003,P0009,Groceries,South,15,184,381.0,74.86,15.0,73.93,1
2021-12-27,S003,P0010,Furniture,West,79,155,146.0,16.48,10.0,21.42,1
2021-12-27,S003,P0010,Groceries,South,126,124,166.0,97.09,5.0,95.8,1
2021-12-27,S003,P0011,Furniture,South,106,111,218.0,58.37,10.0,58.1,1
2021-12-27,S003,P0011,Toys,East,232,155,292.0,56.19,0.0,57.85,1
2021-12-27,S003,P0012,Electronics,North,175,55,311.0,90.38,20.0,89.52,0
2021-12-27,S003,P0012,Groceries,West,1,142,260.0,27.86,5.0,31.78,1
2021-12-27,S003,P0013,Electronics,West,203,53,414.0,39.14,5.0,35.3,1
2021-12-27,S003,P0013,Furniture,North,17,172,51.0,73.98,20.0,76.65,1
2021-12-27,S003,P0014,Electronics,South,369,26,398.0,79.03,5.0,82.51,0
2021-12-27,S003,P0014,Toys,North,368,71,420.0,66.51,0.0,70.84,0
2021-12-27,S003,P0015,Clothing,West,260,24,445.0,27.72,5.0,23.28,0
2021-12-27,S003,P0015,Electronics,East,286,159,435.0,89.65,20.0,84.99,0
2021-12-27,S003,P0016,Clothing,South,69,173,230.0,86.7,20.0,91.05,0
2021-12-27,S003,P0016,Groceries,South,347,93,487.0,98.18,15.0,99.58,0
2021-12-27,S003,P0017,Clothing,East,150,168,429.0,27.1,5.0,27.4,1
2021-12-27,S003,P0017,Toys,South,52,78,456.0,29.69,20.0,25.27,0
2021-12-27,S003,P0018,Toys,East,109,83,319.0,86.93,10.0,82.59,1
2021-12-27,S003,P0018,Toys,West,70,170,204.0,97.08,15.0,94.88,1
2021-12-27,S003,P0019,Clothing,East,249,37,330.0,26.71,15.0,24.81,1
2021-12-27,S003,P0019,Furniture,North,50,135,59.0,59.33,10.0,54.98,0
2021-12-27,S003,P0020,Electronics,East,0,92,155.0,57.07,10.0,53.34,1
2021-12-27,S003,P0020,Electronics,North,370,99,431.0,95.85,20.0,95.7,1
2021-12-27,S004,P0001,Electronics,North,22,45,144.0,74.16,15.0,69.74,0
2021-12-27,S004,P0001,Toys,South,271,66,477.0,15.62,15.0,16.09,0
2021-12-27,S004,P0002,Clothing,North,180,183,462.0,41.13,5.0,45.05,0
2021-12-27,S004,P0002,Electronics,East,45,156,283.0,59.38,0.0,62.4,1
2021-12-27,S004,P0003,Clothing,East,89,122,347.0,48.18,0.0,49.64,1
2021-12-27,S004,P0003,Clothing,West,344,27,446.0,89.32,20.0,93.0,0
2021-12-27,S004,P0004,Groceries,East,209,128,410.0,94.75,20.0,90.1,0
2021-12-27,S004,P0004,Groceries,West,0,160,437.0,87.23,10.0,90.36,0
2021-12-27,S004,P0005,Groceries,North,200,172,397.0,81.72,0.0,85.22,1
2021-12-27,S004,P0005,Toys,West,4,76,99.0,60.89,5.0,59.42,0
2021-12-27,S004,P0006,Electronics,East,382,195,470.0,41.35,10.0,39.86,0
2021-12-27,S004,P0006,Toys,East,47,138,97.0,14.71,5.0,16.85,0
2021-12-27,S004,P0007,Electronics,West,190,139,264.0,67.26,20.0,64.78,0
2021-12-27,S004,P0007,Furniture,West,115,95,339.0,33.09,10.0,28.55,0
2021-12-27,S004,P0008,Furniture,South,51,137,250.0,85.88,20.0,86.14,1
2021-12-27,S004,P0008,Toys,South,27,119,144.0,98.75,15.0,102.7,0
2021-12-27,S004,P0009,Furniture,North,40,73,63.0,59.23,10.0,61.1,1
2021-12-27,S004,P0009,Furniture,South,90,28,110.0,12.4,20.0,8.56,0
2021-12-27,S004,P0010,Groceries,East,104,96,447.0,33.48,15.0,37.15,0
2021-12-27,S004,P0010,Groceries,South,206,67,348.0,92.01,15.0,87.81,1
2021-12-27,S004,P0011,Electronics,West,46,27,205.0,54.84,0.0,57.76,1
2021-12-27,S004,P0011,Toys,East,328,144,458.0,92.12,20.0,87.37,1
2021-12-27,S004,P0012,Electronics,North,9,165,349.0,14.25,5.0,18.56,1
2021-12-27,S004,P0012,Groceries,South,155,24,403.0,37.39,20.0,38.71,0
2021-12-27,S004,P0013,Clothing,West,184,161,198.0,85.35,10.0,80.79,1
2021-12-27,S004,P0013,Furniture,East,56,65,191.0,61.81,0.0,63.92,0
2021-12-27,S004,P0014,Electronics,East,16,166,472.0,82.64,0.0,78.35,0
2021-12-27,S004,P0014,Electronics,West,63,139,406.0,66.94,10.0,68.47,1
2021-12-27,S004,P0015,Clothing,South,181,127,228.0,60.54,5.0,65.27,0
2021-12-27,S004,P0015,Toys,North,90,79,178.0,92.19,10.0,97.07,1
2021-12-27,S004,P0016,Clothing,West,178,111,215.0,61.41,0.0,61.32,0
2021-12-27,S004,P0016,Groceries,South,94,24,263.0,94.26,15.0,96.74,0
2021-12-27,S004,P0017,Electronics,South,302,225,340.0,61.01,10.0,60.709999999999994,0
2021-12-27,S004,P0018,Furniture,South,27,62,198.0,89.33,0.0,89.63,0
2021-12-27,S004,P0018,Groceries,West,8,27,143.0,16.73,5.0,18.79,1
2021-12-27,S004,P0019,Groceries,North,67,83,110.0,59.49,20.0,57.55,1
2021-12-27,S004,P0019,Groceries,West,172,125,359.0,71.2,15.0,73.85,1
2021-12-27,S004,P0020,Clothing,West,68,37,211.0,11.5,20.0,9.26,0
2021-12-27,S004,P0020,Electronics,North,84,112,254.0,73.05,15.0,74.55,1
2021-12-27,S005,P0001,Groceries,East,67,53,223.0,67.49,5.0,65.24,0
2021-12-27,S005,P0001,Toys,West,77,60,111.0,70.33,10.0,70.29,0
2021-12-27,S005,P0002,Clothing,West,298,107,415.0,57.15,5.0,60.71,1
2021-12-27,S005,P0002,Furniture,West,15,114,100.0,66.05,10.0,65.16,1
2021-12-27,S005,P0003,Electronics,North,64,26,384.0,36.17,5.0,40.93,0
2021-12-27,S005,P0003,Toys,West,333,35,397.0,80.88,20.0,84.97,1
2021-12-27,S005,P0004,Furniture,West,300,174,436.0,50.77,15.0,54.7,1
2021-12-27,S005,P0004,Groceries,North,56,38,442.0,60.5,10.0,64.88,1
2021-12-27,S005,P0005,Clothing,West,21,47,180.0,92.86,15.0,96.3,1
2021-12-27,S005,P0005,Furniture,West,165,194,411.0,71.72,20.0,75.17,0
2021-12-27,S005,P0006,Clothing,North,54,175,76.0,69.21,15.0,71.17,1
2021-12-27,S005,P0006,Groceries,North,176,163,185.0,60.76,20.0,61.15,0
2021-12-27,S005,P0007,Clothing,East,93,148,257.0,70.69,20.0,71.37,0
2021-12-27,S005,P0007,Clothing,South,131,140,292.0,46.47,15.0,50.84,0
2021-12-27,S005,P0008,Furniture,East,250,57,353.0,63.54,15.0,61.05,0
2021-12-27,S005,P0008,Toys,West,317,197,478.0,34.08,5.0,30.44,1
2021-12-27,S005,P0009,Electronics,West,90,76,119.0,78.08,10.0,73.69,0
2021-12-27,S005,P0009,Groceries,West,97,27,182.0,87.81,5.0,85.45,0
2021-12-27,S005,P0010,Clothing,East,8,141,87.0,37.04,10.0,36.87,1
2021-12-27,S005,P0010,Furniture,West,83,77,403.0,43.09,10.0,47.02,1
2021-12-27,S005,P0011,Electronics,East,16,149,60.0,25.67,5.0,27.78,1
2021-12-27,S005,P0011,Groceries,West,104,128,427.0,54.12,10.0,53.03,1
2021-12-27,S005,P0012,Electronics,West,87,188,245.0,67.64,15.0,63.53,0
2021-12-27,S005,P0012,Toys,West,87,121,182.0,38.59,20.0,33.87,0
2021-12-27,S005,P0013,Furniture,East,241,136,455.0,57.99,5.0,55.4,0
2021-12-27,S005,P0013,Furniture,South,238,95,317.0,82.18,5.0,87.09,0
2021-12-27,S005,P0014,Electronics,South,171,43,325.0,42.62,20.0,42.01,1
2021-12-27,S005,P0014,Toys,South,286,116,437.0,14.65,20.0,13.12,1
2021-12-27,S005,P0015,Clothing,West,60,83,289.0,63.26,0.0,61.02,1
2021-12-27,S005,P0015,Furniture,West,250,119,411.0,11.54,10.0,11.27,0
2021-12-27,S005,P0016,Clothing,South,11,32,71.0,16.3,5.0,17.98,0
2021-12-27,S005,P0016,Groceries,East,437,106,487.0,43.64,15.0,39.13,1
2021-12-27,S005,P0017,Electronics,East,371,98,388.0,98.31,15.0,102.42,1
2021-12-27,S005,P0017,Toys,North,377,76,418.0,84.85,20.0,84.29,1
2021-12-27,S005,P0018,Clothing,West,83,113,89.0,47.05,15.0,47.89,1
2021-12-27,S005,P0018,Furniture,West,107,66,161.0,48.96,10.0,50.03,1
2021-12-27,S005,P0019,Clothing,West,203,152,421.0,76.83,20.0,75.86,0
2021-12-27,S005,P0019,Groceries,South,106,124,235.0,88.22,5.0,91.16,0
2021-12-27,S005,P0020,Clothing,South,183,189,211.0,93.95,10.0,98.89,1
2021-12-27,S005,P0020,Electronics,South,101,52,108.0,11.04,10.0,9.14,1
2022-01-03,S001,P0001,Electronics,East,37,155,198.0,91.05,5.0,87.3,0
2022-01-03,S001,P0001,Electronics,South,350,178,373.0,41.72,0.0,38.68,1
2022-01-03,S001,P0001,Electronics,West,5,189,154.0,62.7,20.0,58.22,0
2022-01-03,S001,P0001,Furniture,East,2,119,231.0,66.3,20.0,63.82,1
2022-01-03,S001,P0001,Furniture,North,107,106,195.0,53.99,10.0,58.8,1
2022-01-03,S001,P0001,Groceries,South,205,230,161.5,53.17,17.5,52.69499999999999,2
2022-01-03,S001,P0002,Clothing,East,199,70,282.0,54.02,0.0,52.91,0
2022-01-03,S001,P0002,Clothing,North,124,133,198.5,88.57499999999999,10.0,88.07,1
2022-01-03,S001,P0002,Electronics,North,91,142,91.0,88.22,15.0,87.44,1
2022-01-03,S001,P0002,Furniture,East,230,114,262.0,47.32,0.0,45.33,0
2022-01-03,S001,P0002,Groceries,South,33,34,55.0,72.12,5.0,73.33,0
2022-01-03,S001,P0002,Toys,West,220,165,270.0,79.54,10.0,80.22,0
2022-01-03,S001,P0003,Electronics,East,123,90,338.0,39.4,10.0,35.41,1
2022-01-03,S001,P0003,Electronics,North,32,157,487.0,63.07,0.0,67.25,0
2022-01-03,S001,P0003,Toys,East,153,107,153.0,18.67,5.0,19.14,1
2022-01-03,S001,P0003,Toys,South,343,513,194.33333333333334,39.05,10.0,38.623333333333335,1
2022-01-03,S001,P0003,Toys,West,58,187,91.0,54.78,20.0,52.0,0
2022-01-03,S001,P0004,Electronics,East,214,51,239.0,10.19,0.0,7.82,1
2022-01-03,S001,P0004,Electronics,North,29,196,190.5,69.17,12.5,69.53999999999999,2
2022-01-03,S001,P0004,Furniture,West,612,306,402.5,26.23,15.0,24.945,0
2022-01-03,S001,P0004,Groceries,West,5,188,410.0,64.74,15.0,65.03,0
2022-01-03,S001,P0004,Toys,North,79,141,420.0,40.63,0.0,40.25,0
2022-01-03,S001,P0005,Clothing,West,92,170,120.0,29.63,15.0,30.55,0
2022-01-03,S001,P0005,Electronics,East,32,192,470.0,69.65,10.0,73.5,0
2022-01-03,S001,P0005,Furniture,West,192,76,405.0,46.13,0.0,42.56,0
2022-01-03,S001,P0005,Groceries,East,120,195,129.0,37.57,0.0,33.29,1
2022-01-03,S001,P0005,Groceries,West,382,233,361.5,58.135000000000005,5.0,53.81,1
2022-01-03,S001,P0005,Toys,North,343,32,471.0,83.56,0.0,86.48,0
2022-01-03,S001,P0006,Clothing,South,8,84,127.0,53.35,20.0,55.07,0
2022-01-03,S001,P0006,Electronics,East,14,26,104.0,53.8,20.0,50.16,0
2022-01-03,S001,P0006,Furniture,South,32,76,228.0,42.765,12.5,44.015,1
2022-01-03,S001,P0006,Groceries,North,45,174,199.0,59.23,5.0,54.92,0
2022-01-03,S001,P0006,Toys,North,158,139,338.0,60.2,0.0,57.13,1
2022-01-03,S001,P0006,Toys,West,2,110,57.0,83.4,0.0,86.18,1
2022-01-03,S001,P0007,Clothing,North,429,25,461.0,50.47,10.0,46.52,1
2022-01-03,S001,P0007,Clothing,South,140,70,460.0,87.85,20.0,91.9,0
2022-01-03,S001,P0007,Electronics,South,116,226,78.5,66.66,10.0,71.005,2
2022-01-03,S001,P0007,Furniture,North,172,145,264.0,13.51,15.0,16.04,1
2022-01-03,S001,P0007,Groceries,North,341,39,367.0,33.47,5.0,28.95,0
2022-01-03,S001,P0007,Groceries,West,8,143,409.0,53.65,5.0,53.31,0
2022-01-03,S001,P0008,Clothing,East,258,271,220.0,60.96000000000001,15.0,59.010000000000005,0
2022-01-03,S001,P0008,Clothing,West,171,84,445.0,34.4,10.0,38.52,0
2022-01-03,S001,P0008,Electronics,East,347,183,404.0,61.1,20.0,58.46,0
2022-01-03,S001,P0008,Electronics,West,42,23,102.0,59.2,5.0,58.19,0
2022-01-03,S001,P0008,Groceries,West,177,150,214.0,53.94,5.0,51.47,0
2022-01-03,S001,P0008,Toys,North,58,97,215.0,14.55,20.0,12.21,0
2022-01-03,S001,P0009,Clothing,West,169,46,285.0,75.93,20.0,78.51,1
2022-01-03,S001,P0009,Electronics,South,162,64,375.0,22.53,20.0,24.44,0
2022-01-03,S001,P0009,Electronics,West,242,126,402.0,48.3,0.0,50.42,0
2022-01-03,S001,P0009,Furniture,East,200,319,355.0,78.68,12.5,77.795,1
2022-01-03,S001,P0009,Groceries,North,15,187,403.0,45.25,10.0,46.74,0
2022-01-03,S001,P0009,Groceries,South,217,55,407.0,61.42,20.0,65.86,0
2022-01-03,S001,P0010,Clothing,East,97,143,204.0,33.79,15.0,36.98,1
2022-01-03,S001,P0010,Electronics,West,47,155,51.0,99.14,10.0,102.66,0
2022-01-03,S001,P0010,Furniture,East,93,169,288.0,32.6,20.0,32.17,0
2022-01-03,S001,P0010,Furniture,North,186,45,253.0,64.49,10.0,65.01,1
2022-01-03,S001,P0010,Groceries,East,20,139,438.0,55.07,0.0,53.32,0
2022-01-03,S001,P0010,Toys,East,85,122,494.0,94.98,20.0,98.87,0
2022-01-03,S001,P0010,Toys,South,40,148,97.0,69.78,15.0,65.21,1
2022-01-03,S001,P0011,Clothing,North,102,117,275.0,73.88,10.0,70.41,1
2022-01-03,S001,P0011,Furniture,South,106,117,357.0,22.11,20.0,25.81,1
2022-01-03,S001,P0011,Groceries,East,3,98,252.0,60.52,0.0,62.72,0
2022-01-03,S001,P0011,Groceries,North,150,219,423.0,52.745000000000005,5.0,51.78,2
2022-01-03,S001,P0011,Toys,East,177,49,200.0,60.79,20.0,61.26,1
2022-01-03,S001,P0011,Toys,South,30,33,421.0,24.21,0.0,25.48,0
2022-01-03,S001,P0012,Clothing,East,2,62,72.0,86.93,15.0,83.11,0
2022-01-03,S001,P0012,Electronics,South,50,101,94.0,13.88,20.0,13.91,0
2022-01-03,S001,P0012,Electronics,West,214,220,282.0,80.01499999999999,12.5,84.565,0
2022-01-03,S001,P0012,Furniture,North,229,71,264.0,79.77,5.0,79.7,1
2022-01-03,S001,P0012,Groceries,North,1,88,59.0,63.21,0.0,60.48,0
2022-01-03,S001,P0012,Groceries,South,118,109,446.0,65.47,20.0,67.26,0
2022-01-03,S001,P0013,Clothing,South,18,120,194.0,83.11,10.0,85.16,1
2022-01-03,S001,P0013,Electronics,South,261,66,332.0,76.62,0.0,75.03,0
2022-01-03,S001,P0013,Furniture,West,181,189,185.0,64.04,20.0,65.45,0
2022-01-03,S001,P0013,Toys,East,57,24,370.0,83.3,0.0,82.46,0
2022-01-03,S001,P0013,Toys,North,187,438,150.0,38.913333333333334,13.333333333333334,37.03333333333333,0
2022-01-03,S001,P0014,Clothing,East,7,76,77.0,98.28,15.0,95.38,1
2022-01-03,S001,P0014,Electronics,East,166,149,191.5,64.705,2.5,66.765,1
2022-01-03,S001,P0014,Furniture,South,242,244,245.5,48.195,7.5,48.535,0
2022-01-03,S001,P0014,Toys,North,161,171,233.0,12.66,15.0,12.38,1
2022-01-03,S001,P0014,Toys,South,242,145,302.0,32.28,10.0,30.1,1
2022-01-03,S001,P0015,Electronics,East,128,165,311.0,12.36,0.0,9.38,0
2022-01-03,S001,P0015,Electronics,West,377,118,430.0,87.24,10.0,88.66,1
2022-01-03,S001,P0015,Furniture,South,1,37,388.0,92.22,0.0,92.67,0
2022-01-03,S001,P0015,Groceries,South,255,66,368.0,10.98,5.0,13.59,0
2022-01-03,S001,P0015,Toys,East,342,108,424.0,44.74,10.0,45.62,1
2022-01-03,S001,P0015,Toys,North,228,157,330.0,52.17,10.0,52.43,1
2022-01-03,S001,P0015,Toys,West,172,139,272.0,55.77,20.0,59.56,1
2022-01-03,S001,P0016,Clothing,East,621,360,269.0,68.12333333333333,10.0,66.60333333333334,3
2022-01-03,S001,P0016,Electronics,East,98,52,458.0,52.49,5.0,49.14,1
2022-01-03,S001,P0016,Electronics,South,42,99,361.0,32.13,5.0,37.04,0
2022-01-03,S001,P0016,Groceries,East,132,196,189.0,30.15,15.0,26.17,0
2022-01-03,S001,P0016,Groceries,North,28,32,168.0,93.4,10.0,93.22,0
2022-01-03,S001,P0017,Clothing,North,264,303,391.0,70.255,10.0,70.385,1
2022-01-03,S001,P0017,Electronics,East,46,156,120.0,63.75,5.0,60.02,0
2022-01-03,S001,P0017,Electronics,North,418,98,487.0,91.79,5.0,90.65,1
2022-01-03,S001,P0017,Electronics,West,26,23,379.0,22.57,5.0,21.48,1
2022-01-03,S001,P0017,Furniture,South,66,185,299.0,13.81,0.0,9.33,1
2022-01-03,S001,P0017,Toys,West,348,36,353.0,53.02,0.0,57.08,1
2022-01-03,S001,P0018,Clothing,North,316,107,363.0,52.06,5.0,50.29,0
2022-01-03,S001,P0018,Electronics,East,176,90,423.0,81.55,10.0,76.9,0
2022-01-03,S001,P0018,Furniture,East,20,147,97.0,78.53,5.0,75.48,0
2022-01-03,S001,P0018,Furniture,West,58,71,296.0,79.68,5.0,76.69,0
2022-01-03,S001,P0018,Groceries,South,275,266,314.0,78.025,7.5,79.38,1
2022-01-03,S001,P0018,Toys,South,87,188,109.0,58.5,15.0,55.07,1
2022-01-03,S001,P0019,Electronics,West,38,167,492.0,49.8,5.0,47.76,1
2022-01-03,S001,P0019,Furniture,South,335,366,248.66666666666666,55.10666666666666,1.6666666666666667,53.04333333333333,2
2022-01-03,S001,P0019,Groceries,West,284,78,317.0,37.43,5.0,33.91,0
2022-01-03,S001,P0019,Toys,South,46,29,159.0,65.57,0.0,61.51,1
2022-01-03,S001,P0019,Toys,West,41,191,127.0,63.29,15.0,61.73,1
2022-01-03,S001,P0020,Clothing,North,2,60,98.0,79.76,0.0,78.21,0
2022-01-03,S001,P0020,Electronics,North,49,139,153.0,10.93,0.0,10.76,1
2022-01-03,S001,P0020,Electronics,West,124,167,402.0,52.47,20.0,50.87,0
2022-01-03,S001,P0020,Groceries,South,151,126,348.0,65.67,15.0,68.33,1
2022-01-03,S001,P0020,Toys,North,173,195,264.5,23.155,10.0,22.580000000000002,1
2022-01-03,S001,P0020,Toys,West,11,26,355.0,33.3,10.0,37.71,0
2022-01-03,S002,P0001,Clothing,North,83,25,108.0,45.49,5.0,44.33,1
2022-01-03,S002,P0001,Furniture,East,161,70,250.0,56.24,15.0,60.32,1
2022-01-03,S002,P0001,Furniture,West,81,82,131.0,28.58,10.0,30.51,1
2022-01-03,S002,P0001,Groceries,North,341,198,349.0,90.22,20.0,87.58,1
2022-01-03,S002,P0001,Groceries,South,155,102,361.0,78.43,15.0,82.14,1
2022-01-03,S002,P0001,Toys,North,96,171,405.0,48.08,0.0,49.4,1
2022-01-03,S002,P0001,Toys,West,150,68,394.0,85.79,5.0,82.42,0
2022-01-03,S002,P0002,Electronics,North,149,128,191.0,45.19,17.5,41.545,2
